humidity,soil depth,temperature,ph
67,12,22,6.5
72,15,20,7.2
62,10,25,6.8
57,18,23,7
77,14,19,7.5
70,11,21,6.3
75,13,24,6.9
65,16,18,7.3
60,9,26,6.7
80,17,20,7.2
68,12,22,6.5
73,15,21,7.1
63,10,25,6.8
58,18,23,7
78,14,19,7.5
71,11,21,6.3
76,13,24,6.9
66,16,18,7.3
61,9,26,6.7
81,17,20,7.2
69,12,22,6.5
74,15,20,7.2
64,10,25,6.8
59,18,23,7
79,14,19,7.5
72,11,21,6.3
77,13,24,6.9
67,16,18,7.3
62,9,26,6.7
83,17,20,7.2
68,12,22,6.5
76,15,21,7.1
66,10,25,6.8
61,18,23,7
78,14,19,7.5
71,11,21,6.3
77,13,24,6.9
67,16,18,7.3
62,9,26,6.7
83,17,20,7.2
69,12,22,6.5
79,15,20,7.2
63,10,25,6.8
58,18,23,7
72,14,19,7.5
68,11,21,6.3
74,13,24,6.9
64,16,18,7.3
59,9,26,6.7
73,14,25,6.9
71,13,22,6.4
76,16,20,7
66,11,25,6.6
61,18,23,7.1
81,15,19,7.6
74,12,21,6.2
79,14,24,6.8
69,17,18,7.2
64,10,26,6.6
84,13,20,7.1
70,16,22,6.4
75,19,20,7
65,14,25,6.6
60,17,23,7.1
82,12,19,7.6
77,15,21,6.2
67,18,24,6.8
62,11,18,7.2
87,14,26,6.6
73,17,20,7.1
78,10,22,6.4
68,13,20,7
63,16,25,6.6
83,19,23,7.1
72,12,19,7.6
77,15,21,6.2
67,18,24,6.8
62,11,18,7.2
83,14,26,6.6
69,17,20,7.1
79,10,22,6.4
64,13,20,7
59,16,25,6.6
74,19,23,7.1
70,12,19,7.6
75,15,21,6.2
65,18,24,6.8
60,11,18,7.2
85,14,26,6.6
71,17,20,7.1
76,10,22,6.4
66,13,20,7
61,16,25,6.6
81,19,23,7.1
77,12,19,7.6
67,15,21,6.2
72,18,24,6.8
68,11,18,7.2
73,14,26,6.6
63,17,20,7.1
78,10,22,6.4
69,13,20,7
64,16,25,6.6
59,19,23,7.1
74,12,19,7.6
70,15,21,6.2
75,18,24,6.8
65,11,18,7.2
86,14,26,6.6
61,17,20,7.1
76,10,22,6.4
66,13,20,7
71,16,25,6.6
81,19,23,7.1
77,12,19,7.6
67,15,21,6.2
72,18,24,6.8
68,11,18,7.2
73,14,26,6.6
63,17,20,7.1
78,10,22,6.4
69,13,20,7
64,16,25,6.6
59,19,23,7.1
74,12,19,7.6
70,15,21,6.2
75,18,24,6.8
65,11,18,7.2
86,14,26,6.6
61,17,20,7.1
76,10,22,6.4
66,13,20,7
71,16,25,6.6
81,19,23,7.1
77,12,19,7.6
67,15,21,6.2
72,18,24,6.8
68,11,18,7.2
73,14,26,6.6
63,17,20,7.1
78,10,22,6.4
69,13,20,7
64,16,25,6.6
59,19,23,7.1
74,12,19,7.6
70,15,21,6.2
75,18,24,6.8
65,11,18,7.2
86,14,26,6.6
61,17,20,7.1
76,10,22,6.4
66,13,20,7
71,16,25,6.6
81,19,23,7.1
77,12,19,7.6
67,15,21,6.2
72,18,24,6.8
68,11,18,7.2
73,14,26,6.6
63,17,20,7.1
78,10,22,6.4
69,13,20,7
64,16,25,6.6
59,19,23,7.1
74,12,19,7.6
70,15,21,6.2
75,18,24,6.8
65,11,18,7.2
86,14,26,6.6
61,17,20,7.1
76,10,22,6.4
66,13,20,7
71,16,25,6.6
81,19,23,7.1
77,12,19,7.6
67,15,21,6.2
72,18,24,6.8
68,11,18,7.2
73,14,26,6.6
63,17,20,7.1
78,10,22,6.4
69,13,20,7
64,16,25,6.6
59,19,23,7.1
74,12,19,7.6
70,15,21,6.2
75,18,24,6.8
65,11,18,7.2
86,14,26,6.6
61,17,20,7.1
76,10,22,6.4
66,13,20,7
71,16,25,6.6
81,19,23,7.1
77,12,19,7.6
67,15,21,6.2
72,18,24,6.8
68,11,18,7.2
73,14,26,6.6
63,17,20,7.1
78,10,22,6.4
69,13,20,7
64,16,25,6.6
59,19,23,7.1
74,12,19,7.6
70,15,21,6.2
75,18,24,6.8
65,11,18,7.2
86,14,26,6.6
79,12,24,6.9
66,15,21,7.3
72,18,19,6.7
68,11,22,7.1
81,14,25,6.5
74,17,20,7.4
63,10,23,6.8
77,13,26,6.3
70,16,18,7
85,19,22,6.6
67,12,24,6.9
73,15,21,7.3
80,18,19,6.7
75,11,22,7.1
82,14,25,6.5
69,17,20,7.4
64,10,23,6.8
78,13,26,6.3
71,16,18,7
86,19,22,6.6
68,12,24,6.9
74,15,21,7.3
60,18,19,6.7
76,11,22,7.1
83,14,25,6.5
70,17,20,7.4
65,10,23,6.8
79,13,26,6.3
72,16,18,7
87,19,22,6.6
67,12,24,6.9
73,15,21,7.3
81,18,19,6.7
76,11,22,7.1
84,14,25,6.5
71,17,20,7.4
66,10,23,6.8
80,13,26,6.3
75,16,18,7
88,19,22,6.6
68,12,24,6.9
